id,sno,code,name,address,state,city,pincode,contactPerson,phone,email,validity,scopeUrl,Primary Category,Secondary Categories,Classification Basis,Category Confidence,Category
15,1,8102006,"SIIR, Delhi Shriram Institute For Industrial Research","19-University Road, Delhi 110007, Delhi, North, Delhi, India - 110007",Delhi,Delhi,110007.0,Dr. Laxmi Rawat (Quality Manager),+91 011 35200445,laxmirawat@shriraminstitute.org,"31 Dec, 2026",https://lims.bis.gov.in/home_lab_scope/15/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
16,2,8138306,"Testtex India Laboratories Private Limited, Noida","C - 57, Sector - 65, Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,Amit Tiwari (Quality Manager),+91 7303 919463,labsindianoida@testtex.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/16/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
18,3,6126316,"Intertek India Private Limited (Food Services), Hyderabad","Plot No D-53, IDA, Phase-1, Jeedimetla,Qutubullapur Mandal, hyderabad, Medchal Malkajgiri, Telangana, India - 500055",Telangana,Hyderabad,500055.0,gandla krishnaiah,9912463921,gandla.krishnaiah@intertek.com,"18 Mar, 2028",https://lims.bis.gov.in/home_lab_scope/18/,Food & Agriculture,,Name/address metadata heuristic,Medium,Food & Agriculture
19,4,8125636,"Kailtech Test and Research Centre Pvt. Ltd., Indore","141C, Electronic Complex Industrial Area, Indore, Indore, Madhya Pradesh, India - 452010",Madhya Pradesh,Indore,452010.0,,,contact@kailtech.net,"18 Dec, 2027",https://lims.bis.gov.in/home_lab_scope/19/,Electrical & Electronics,,Name/address metadata heuristic,Low,Electrical & Electronics
48,5,6130526,"REACT COMPLIANCE AND TESTING LABORATORIES LLP, BENGALURU","#3411, 3rd floor, Service Road, Vijayanagar, BENGALURU, Bengaluru Urban, Karnataka, India - 560040",Karnataka,Bengaluru,560040.0,Praveen Krishnan (Technical Manager),+91 9845716746,info@react-labs.com,"10 Mar, 2027",https://lims.bis.gov.in/home_lab_scope/48/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
49,6,6133516,"CVR LABS PRIVATE LIMITED, CHENNAI","Dignity Centre, II Floor No 21 Abdulrazack Street, Saidapet, Chennai, Chennai, Tamil Nadu, India - 600015",Tamil Nadu,Chennai,600015.0,S ParveenBanu (Technical Manager),+91 9500121387,bala@cvrlabs.com,"05 Apr, 2028",https://lims.bis.gov.in/home_lab_scope/49/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
51,7,9139736,"Sleen India Biz venture Private Limited, Agra","RAHANKALAN ROAD, PART 295, BLOCK-A KUBERPUR, 300 METER FROM RAILWAY CROSSING CHALESHAR ROAD, Agra, Uttar Pradesh, India, 282006, Agra, Agra, Uttar Pradesh, India - 282006",Uttar Pradesh,Agra,282006.0,Pawan Senger (Technical Manager),+91 8193022228,sleen.info@gmail.com,-,https://lims.bis.gov.in/home_lab_scope/51/,Construction & Cement,,Name/address metadata heuristic,Low,Construction & Cement
53,8,7139526,"SUNREN TELECOM LABORATORY, NAVI MUMBAI","C-475, MIDC Pavane, Navi Mumbai, Navi Mumbai, Thane, Maharashtra, India - 400705",Maharashtra,Mumbai,400705.0,Rekha Patel (Quality Manager),+91 22 24055281,sunil@sunren.net,"15 Mar, 2027",https://lims.bis.gov.in/home_lab_scope/53/,Telecom & Communication,,Name/address metadata heuristic,Low,Telecom & Communication
54,9,8163826,"SWASTIK ELECTRONICS TESTING CENTRE (OPC) PVT. LTD., GHAZIABAD","Plot No-16, Mainapur Industrial Area, Ghaziabad, Uttar Pradesh 201003, Ghaziabad, Ghaziabad, Uttar Pradesh, India - 201003",Uttar Pradesh,Ghaziabad,201003.0,Ashish Kumar,9311299492,head@swastiktestingcentre.com,"15 May, 2028",https://lims.bis.gov.in/home_lab_scope/54/,Electrical & Electronics,Mechanical & Engineering,Name/address metadata heuristic,Low,Electrical & Electronics
55,10,9136024,"National Research and Technology Consortium (NRTC), Parwanoo","HPCED Building, Department of industries complex, Sector-1, Parwanoo, Solan, Himachal Pradesh, India - 173220",Himachal Pradesh,Solan,173220.0,Dr Kiran Gupta (Quality Manager),+91 1792 234107,nrtcpwn@gmail.com,"10 Apr, 2029",https://lims.bis.gov.in/home_lab_scope/55/,Construction & Cement,,Name/address metadata heuristic,Low,Construction & Cement
58,11,8125006,"Ghaziabad Testing Laboratories Pvt Ltd, Ghaziabad","AO 150 Amrit Steel Compound South Side GT Road Industrial Area Ghaziabad (UP), Ghaziabad (UP), Ghaziabad, Uttar Pradesh, India - 201001",Uttar Pradesh,Ghaziabad,201001.0,Tej Krishen Saraf (Quality Manager),+91 9891067223,gtaslab@yahoo.com,"30 Sep, 2027",https://lims.bis.gov.in/home_lab_scope/58/,Metal & Metallurgy,,Name/address metadata heuristic,Low,Metal & Metallurgy
59,12,8112814,"FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE (FDDI), NOIDA","A-10/A GAUTAM BUDDTH NAGAR SECTOR 24 NOIDA, NOIDA, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,Noida,201301.0,Mr. Rajesh Mishra,9718303177,rajeshmishra@fddiindia.com,"31 May, 2028",https://lims.bis.gov.in/home_lab_scope/59/,Textile & Leather,,Name/address metadata heuristic,Low,Textile & Leather
60,13,7136414,"NDDB CALF LIMITED, ANAND","Anand, Gujarat, Anand, Anand, Gujarat, India - 388001",Gujarat,Gujarat,388001.0,P Rohith Kumar,9726425080,prohith@nddbcalf.com,"31 Dec, 2029",https://lims.bis.gov.in/home_lab_scope/60/,Food & Agriculture,,Name/address metadata heuristic,Low,Food & Agriculture
61,14,8135716,"FARE Labs Pvt. Ltd., Gurugram","L-17/3, DLF PHASE-II, IFFCO CHOWK, M.G.ROAD, GURUGRAM, Gurugram, Haryana, India - 122002",Haryana,Gurugram,122002.0,,+91 9289351688,farelabs@farelabs.com,"09 Mar, 2029",https://lims.bis.gov.in/home_lab_scope/61/,General / Multi-sector,,Name/metadata heuristic,Low,General / Multi-sector
